序号,模块,定时任务名称,定时任务执行地址,参数,,,,,"定时频率
(cron表达式)",备注,是否已配置（此两列由定时配置人填写）,,负责人
,,,,pOrgId,String,否,是,,,,,,徐朝
64,integration,FSSC_0038_1-资产地点1同步接口,/integration/fssc00381/execute,pDescription,String,否,是,,0 01 02 * * ?,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,updateDateStr,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
65,integration,FSSC_0038_2-资产地点2同步接口,/integration/fssc00382/execute,pDescription,String,否,是,,0 10 02 * * ?,,,,徐朝
,,,,pResponsibilityId,String,否,是,,,,,,徐朝
,,,,updateDateStr,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
66,integration,FSSC_0057-总账科目余额同步接口,/integration/fssc0057/execute,pSetOfBooksId,String,否,是,,0 20 * * * ?,,,,徐朝
,,,,pCurrencyCode,String,否,是,,,,,,徐朝
,,,,pPeriodName,String,否,是,,,,,,徐朝
,,,,pSegment1,String,否,是,,,,,,徐朝
,,,,pSegment2,String,否,是,,,,,,徐朝
,,,,pSegment4,String,否,是,,,,,,徐朝
,,,,pStartLastUpdateDate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdateDate,String,否,是,,,,,,徐朝
,,,,pParameter1,String,否,是,,,,,,徐朝
,,,,pParameter2,String,否,是,,,,,,徐朝
,,,,pParameter3,String,否,是,,,,,,徐朝
,,,,pWhere,String,否,是,,,,,,徐朝
67,integration,FSSC_0066-用户职责配置信息同步接口,/integration/fssc0066/execute,updateDateStr,String,否,是,,0 0/30 * * * ?,,,,徐朝
,,,,ifWhereFlag,String,否,是,,,,,,徐朝
,,,,pStartLastUpdate,String,否,是,,,,,,徐朝
,,,,pEndLastUpdate,String,否,是,,,,,,徐朝
68,integration,FSSC_0001-员工供应商头信息同步接口,/integration/fssc0001/execute,updateDateStr,String,否,是,,0 0 0/1 * * ?,,,,徐朝
,,,,where,String,否,是,,,,,,徐朝
69,integration,FSSC_0002-员工供应商地点信息同步接口,/integration/fssc0002/execute,updateDateStr,String,否,是,,0 0 0/1 * * ?,,,,徐朝
,,,,where,String,否,是,,,,,,徐朝
70,integration,FSSC_0026-AR未核销收款同步接口,/integration/fssc0026/execute,pFromLastUpdatedDate,String,否,是,,0 0/20 * * * ?,,,,徐朝
,,,,pToLastUpdatedDate,String,否,是,,,,,,徐朝
,,,,pZeroBalance,String,否,是,,,,,,徐朝
,,,,pPage,String,否,是,,,,,,徐朝
,,,,pOrgId,String,否,是,,,,,,徐朝
,,,,pReceiptMethodId,String,否,是,,,,,,徐朝
,,,,pBankAcctUseId,String,否,是,,,,,,徐朝
,,,,pCustomerId,String,否,是,,,,,,徐朝
,,,,pCustSiteUseId,String,否,是,,,,,,徐朝
71,integration,FSSC_0071-供应商银行信息同步接口,/integration/fssc0071/execute,pOrgId,String,否,是,,0 0 0/1 * * ?,,,,徐朝
,,,,pEmployeeNumber,String,否,是,,,,,,徐朝
