定时配置,功能,入口,是否自动生成报账单,是否需要付款,类型,执行频率,执行频率,
processUtil2JobDetail\#processUtil2JobTrigger,t_process_wi_record_queue有数据，但是t_process_wi_record没有数据，待办为生成,com.ibm.gbs.efinance.business.eip.service.control.ProcessUtil2Job,否,否,报账功能,多次,每5分钟执行一次,
processUtil3JobDetail\#processUtil3JobTrigger,流程表数据与主表环节数据不对应，定时修复,com.ibm.gbs.efinance.business.eip.service.control.ProcessUtil3Job,否,否,报账功能,多次,每5分钟执行一次,
processUtilJobDetail\#processUtilJobTrigger,根据凭证头表与行表生成pdf，挂接到报账单附件列表,com.ibm.gbs.efinance.business.eip.service.control.ProcessUtilJob,否,否,报账功能,多次,每10分钟执行一次,
budanTurnBackJobDetail\#budanTurnBackJobTrigger,补单超期未处理，系统自动退回，删除补单流程,com.ibm.gbs.efinance.business.eip.service.control.BudanTurnBackJob,否,否,报账功能,多次,每20分钟执行一次,
tpmClaimInfoJobDetail\#tpmClaimInfoJobTrigger,向TPM系统传递报账单信息,com.ibm.gbs.efinance.business.eip.service.control.TpmClaimInfoJob,否,否,数据同步,多次,每5分钟执行一次,
changeArchiveIsGuiDangJobDetail\#changeArchiveIsGuiDangJobTrigger,修改已归档但凭证池未改状态,com.ibm.gbs.aam.controller.ChangeArchiveIsGuiDangJob,否,否,数据同步,天,每天23点20分执行一次,
importApInvoiceJobDetail\#importApInvoiceTrigger,金德瑞T026，T027，T036报账单导入,com.ibm.gbs.efinance.business.eip.service.control.ImportApInVoiceJob,否,否,报账功能,多次,每5分钟执行一次,
t036AutoArchiveJobDetail\#t036AutoArchiveJobTrigger,T036目录化无票挂账自动归档，erp凭证生成自动办结虚拟报账单-自动归档，按规则配置报账单-自动归档,com.ibm.gbs.aam.controller.T036AutoArchiveJob,否,否,报账功能,天,每天23点30分执行一次,
importApCertJobDetail\#importApCertTrigger,虚拟付款，汇信付款，银行托收，承兑汇票生成付款凭证,com.ibm.gbs.efinance.business.eip.service.control.ImportApCertJob,否,否,报账功能,多次,每2分钟执行一次,
importApCertMergeJobDetail\#importApCertMergeTrigger,合并付款凭证导入,com.ibm.gbs.efinance.business.eip.service.control.ImportApCertMergeJob,否,否,报账功能,多次,每2分钟执行一次,
segment1SrvJobDetail\#segment1SrvJobTrigger,同步资产一级二级三级地点定时,com.ibm.gbs.efinance.ylService.erp.ebs_esb_quy_fa_loc.job.Segment1SrvJob,否,否,数据同步,天,每天2点01分执行一次,
valiCancelGlJobDetail\#valiCancelGlTrigger,验证冲销总账凭证结果查询,com.ibm.gbs.efinance.business.eip.service.control.ValiCancelGlJob,否,否,接口验证,多次,每两个小时35分执行一次,
createClaimAutoArchiveJobDetail\#createClaimAutoArchiveJobTrigger,根据凭证头表自动生成虚拟报账单,com.ibm.gbs.aam.controller.CreateClaimAutoArchiveJob,否,否,报账功能,天,每天22点30分执行一次,
